supabase_id,package_id,hotel_type,name,enabled,placeholder,created_at
31ff86c8-45ff-4d4f-a21e-51503eb2f3b9,98272c77-760f-4981-bac4-acecbba0d6fe,makkah,,false,Hotel Nozol Royal Inn @ setaraf (150m+/-) 4 star,2026-02-15 06:00:13.784506+00
69cb70a4-6e1d-4365-b173-37d9f0d3daf2,98272c77-760f-4981-bac4-acecbba0d6fe,madinah,,false,Hotel Nozol Royal Inn @ setaraf (150m+/-) 4 star,2026-02-15 06:00:13.784506+00
d0b2b36b-df39-40c4-98a3-1acb536407fc,98272c77-760f-4981-bac4-acecbba0d6fe,taif,,false,Hotel Nozol Royal Inn @ setaraf (150m+/-) 4 star,2026-02-15 06:00:13.784506+00
60c3a545-cb7b-4df9-b300-b82fd0267244,97a27ec0-0140-4520-9bfe-cd866c1e5550,makkah,,false,Hotel Nozol Royal Inn @ setaraf (150m+/-) 4 star,2026-02-15 06:00:13.784506+00
655a2c71-4056-4636-a6a5-88e97a50f9a7,97a27ec0-0140-4520-9bfe-cd866c1e5550,madinah,,false,Hotel Nozol Royal Inn @ setaraf (150m+/-) 4 star,2026-02-15 06:00:13.784506+00
c1bce0ad-86cf-4f8f-bce6-cd59a778e0a9,97a27ec0-0140-4520-9bfe-cd866c1e5550,taif,,false,Hotel Nozol Royal Inn @ setaraf (150m+/-) 4 star,2026-02-15 06:00:13.784506+00
ea8e16bd-54f5-47a2-b651-ea6c5182cdac,43aa3595-580a-40cf-99a1-e1f2046cc3e2,makkah,,false,Hotel Nozol Royal Inn @ setaraf (150m+/-) 4 star,2026-02-15 06:00:13.784506+00
9fdd2fe7-632d-4bb0-9b9f-9faf0da467a4,43aa3595-580a-40cf-99a1-e1f2046cc3e2,madinah,,false,Hotel Nozol Royal Inn @ setaraf (150m+/-) 4 star,2026-02-15 06:00:13.784506+00
8db38d03-9734-4201-ac4e-2874fd83aea3,43aa3595-580a-40cf-99a1-e1f2046cc3e2,taif,,false,Hotel Nozol Royal Inn @ setaraf (150m+/-) 4 star,2026-02-15 06:00:13.784506+00
b57f6557-f7f4-4d77-a2c9-02089d0d1f14,6df29817-64c9-4163-a0eb-e6b055d60c30,makkah,,false,Hotel Nozol Royal Inn @ setaraf (150m+/-) 4 star,2026-02-15 06:00:13.784506+00
293b938f-557f-4902-99db-992ca9ecab59,6df29817-64c9-4163-a0eb-e6b055d60c30,madinah,,false,Hotel Nozol Royal Inn @ setaraf (150m+/-) 4 star,2026-02-15 06:00:13.784506+00
3ce71b2f-0f0c-405f-8f1b-57bd96ddebe2,6df29817-64c9-4163-a0eb-e6b055d60c30,taif,,false,Hotel Nozol Royal Inn @ setaraf (150m+/-) 4 star,2026-02-15 06:00:13.784506+00
f79ddfa9-006c-4b05-b972-fc2c3aed9845,0fb0eb69-e1b2-4761-b1c5-7b6d3ab37c04,taif,,false,Hotel Nozol Royal Inn @ setaraf (150m+/-) 4 star,2026-02-15 06:00:13.784506+00
06a5ed9f-1d92-4b17-a004-b80dd94d1da4,0fb0eb69-e1b2-4761-b1c5-7b6d3ab37c04,madinah,,false,Hotel Nozol Royal Inn @ setaraf (150m+/-) 4 star,2026-02-15 06:00:13.784506+00
6c5a8a15-27db-4a25-83f7-42511243c6b9,0fb0eb69-e1b2-4761-b1c5-7b6d3ab37c04,makkah,,false,Hotel Nozol Royal Inn @ setaraf (150m+/-) 4 star,2026-02-15 06:00:13.784506+00
