season_code,season_raw,season_start,season_end,price_list_package,price_list_segment,canonical_name,qdp_price,tpl_price,dbl_price,sgl_price,duration,flight,has_prices,db_id,db_name,db_season,db_status,db_code,match_status,transport,makkah_hotel,makkah_meals,madinah_hotel,madinah_meals,aziziah_hotel,aziziah_meals,taif_hotel,taif_meals
"SLS - JUN","SUPER LOW SEASON : 18 JUNE - 30 JUNE 2026",2026-06-18,2026-06-30,"SEASONAL","MUSIM HAJI - 11H9M","MUSIM HAJI",8490,8990,9490,,"11D9N","EY",true,"","","","","",NEW,"BAS","MOVENPICK HAJJAR","BB","NOZOL ROYAL INN","FB","","","",""
"SLS - JUN","SUPER LOW SEASON : 18 JUNE - 30 JUNE 2026",2026-06-18,2026-06-30,"SEASONAL","MUSIM HAJI - 12H10M","MUSIM HAJI",8690,9190,9690,,"12D10N","EY",true,"","","","","",NEW,"BAS","MOVENPICK HAJJAR","BB","NOZOL ROYAL INN","FB","","","",""
"LS - JULY TO SEP","LOW SEASON : 1 JULY - 30 SEPTEMBER 2026",2026-07-01,2026-09-30,"MENARA JAM","STANDARD - DIRECT","MENARA JAM",10190,10690,11690,,"12D10N","EY",true,"jd74k6ss3bsntrq0g3rbnh8std81zx0h","MENARA JAM","LS - JULY TO SEP","published","",MATCHED,"BAS & PERCUMA SPEED TRAIN","MOVENPICK HOTEL @ SETARAF (+-50 METER DARI DATARAN MASJIDIL HARAM)","BREAKFAST","NOZOL ROYAL INN HOTEL @ SETARAF (+-200 METER DARI DATARAN MASJID NABAWI)","BREAKFAST+LUNCH+DINNER","","","",""
"LS - JULY TO SEP","LOW SEASON : 1 JULY - 30 SEPTEMBER 2026",2026-07-01,2026-09-30,"MENARA JAM","PREMIUM","MENARA JAM PREMIUM",12890,13790,15590,,"12D10N","EY",true,"jd7355epkasg5d9qwsbjyr14z581y495","MENARA JAM PREMIUM","LS - JULY TO SEP","published","",MATCHED,"BAS & SPEED TRAIN (BC)","PULLMAN ZAM ZAM HOTEL @ SETARAF (+- 50M DARI DATARAN MASJIDIL HARAM)","BREAKFAST+LUNCH+DINNER","MADEN AR RAWDA HOTEL @ SETARAF (+-100 METER DARI DATARAN MASJID NABAWI)","BREAKFAST+LUNCH+DINNER","","","",""
"LS - JULY TO SEP","LOW SEASON : 1 JULY - 30 SEPTEMBER 2026",2026-07-01,2026-09-30,"MAWADDAH","LITE","MAWADDAH LITE",7890,8390,9190,,"9D7N","",true,"jd79c4xpapdcmd8myp3pjgnkwn81yw25","MAWADDAH LITE","LS - JULY TO SEP","published","",MATCHED,"BAS","MAKKAH TOWER HOTEL @ SETARAF (+- 50M DARI DATARAN MASJIDIL HARAM)","","EMAAR ELITE HOTEL @ SETARAF (+-100 METER DARI DATARAN MASJID NABAWI)","BREAKFAST+LUNCH+DINNER","","","",""
"LS - JULY TO SEP","LOW SEASON : 1 JULY - 30 SEPTEMBER 2026",2026-07-01,2026-09-30,"MAWADDAH","STANDARD - DIRECT","MAWADDAH",8990,9590,10790,,"12D10N","EY",true,"jd7cff92c5055j761r418et2t981y460","MAWADDAH","LS - JULY TO SEP","published","",MATCHED,"BAS","MAKKAH TOWER HOTEL @ SETARAF (+- 50M DARI DATARAN MASJIDIL HARAM)","","EMAAR ELITE HOTEL @ SETARAF (+-100 METER DARI DATARAN MASJID NABAWI)","BREAKFAST+LUNCH+DINNER","","","",""
"LS - JULY TO SEP","LOW SEASON : 1 JULY - 30 SEPTEMBER 2026",2026-07-01,2026-09-30,"MAWADDAH","PLUS 13D11N (20 AUG)","MAWADDAH PLUS",9390,10090,11290,,"13D11N","EY",true,"","","","","",NEW,"BAS","","","","FB","","","ORIENS TAIF (2D1N - TAIF)",""
"LS - JULY TO SEP","LOW SEASON : 1 JULY - 30 SEPTEMBER 2026",2026-07-01,2026-09-30,"MAWADDAH","MANASIK HAJI","MANASIK HAJI",9090,9490,10290,,"12D10N","EY",true,"jd70dd7vz0wkrfa6ewb653g80581yys0","MANASIK HAJI","LS - JULY TO SEP","published","",MATCHED,"BAS","MAKKAH TOWER HOTEL @ SETARAF (+- 50M DARI DATARAN MASJIDIL HARAM)","","NOZOL ROYAL INN HOTEL @ SETARAF (+-200 METER DARI DATARAN MASJID NABAWI)","BREAKFAST+LUNCH+DINNER","V12 AL ARABIA @ SETARAF","BREAKFAST+LUNCH+DINNER","SWISS INTERNATIONAL HOTEL @ SETARAF","BREAKFAST+DINNER"
"LS - JULY TO SEP","LOW SEASON : 1 JULY - 30 SEPTEMBER 2026",2026-07-01,2026-09-30,"PLATINUM","FIT - DATE BELUM ADA","PLATINUM",25790,23490,22390,,"9D7N","EY",true,"","","","","",NEW,"BAS & SPEED TRAIN (BC)","DAR TAWHID","FB","DAR IMAN CONT.","FB","","","",""
"LS - OCT","LOW SEASON : 1 OCT - 31 OCTOBER 2026",2026-10-01,2026-10-31,"MENARA JAM","STANDARD - DIRECT","MENARA JAM",10790,11590,12930,,"12D10N","EY",true,"jd7ec8q2pq96dnc45vkqhg9bwd81zq09","MENARA JAM ","LS - OCT","published","",MATCHED,"BAS & FREE SPEED TRAIN","MOVENPICK HOTEL @ SETARAF (+-50 METER DARI DATARAN MASJIDIL HARAM)","BREAKFAST","NOZOL ROYAL INN HOTEL @ SETARAF (+-200 METER DARI DATARAN MASJID NABAWI)","BREAKFAST+LUNCH+DINNER","","","",""
